"PlotID","Hill","Lat","Long","Size","Treatment","DivLev","Composition","Nb_planted_trees","Taxa","Diversity"
26,"Species richness",-1.9,103.3,40,"Island",2,"DF",400,"Bats",3
27,"Shannon diversity",-1.9,103.2,10,"Island",2,"AE",24,"Bats",4
27,"Species richness",-1.9,103.2,10,"Island",2,"AE",24,"Bats",4
27,"Simpson diversity",-1.9,103.2,10,"Island",2,"AE",24,"Bats",4
28,"Species richness",-2,103.2,5,"Island",1,"B",6,"Bats",4
28,"Simpson diversity",-2,103.2,5,"Island",1,"B",6,"Bats",4
28,"Shannon diversity",-2,103.2,5,"Island",1,"B",6,"Bats",4
29,"Shannon diversity",-1.9,103.2,40,"Island",3,"BCD",399,"Bats",2
29,"Species richness",-1.9,103.2,40,"Island",3,"BCD",399,"Bats",2
29,"Simpson diversity",-1.9,103.2,40,"Island",3,"BCD",399,"Bats",2
30,"Species richness",-1.9,103.3,20,"Island",1,"E",100,"Bats",4
30,"Simpson diversity",-1.9,103.3,20,"Island",1,"E",100,"Bats",4
30,"Shannon diversity",-1.9,103.3,20,"Island",1,"E",100,"Bats",4
31,"Simpson diversity",-1.9,103.3,5,"Island",1,"C",6,"Bats",2
31,"Shannon diversity",-1.9,103.3,5,"Island",1,"C",6,"Bats",2
31,"Species richness",-1.9,103.3,5,"Island",1,"C",6,"Bats",2
32,"Species richness",-1.9,103.3,10,"Island",2,"CF",24,"Bats",2
32,"Simpson diversity",-1.9,103.3,10,"Island",2,"CF",24,"Bats",2
32,"Shannon diversity",-1.9,103.3,10,"Island",2,"CF",24,"Bats",2
33,"Simpson diversity",-2,103.3,20,"Island",3,"BDE",99,"Bats",2
33,"Shannon diversity",-2,103.3,20,"Island",3,"BDE",99,"Bats",2
33,"Species richness",-2,103.3,20,"Island",3,"BDE",99,"Bats",2
34,"Shannon diversity",-2,103.2,10,"Island",2,"BD",24,"Bats",2.9
34,"Species richness",-2,103.2,10,"Island",2,"BD",24,"Bats",3
34,"Simpson diversity",-2,103.2,10,"Island",2,"BD",24,"Bats",2.8
35,"Shannon diversity",-2,103.2,40,"Island",0,"Z",0,"Bats",2
35,"Species richness",-2,103.2,40,"Island",0,"Z",0,"Bats",2
35,"Simpson diversity",-2,103.2,40,"Island",0,"Z",0,"Bats",2
36,"Species richness",-2,103.2,20,"Island",2,"AF",100,"Bats",2
36,"Simpson diversity",-2,103.2,20,"Island",2,"AF",100,"Bats",1.8
36,"Shannon diversity",-2,103.2,20,"Island",2,"AF",100,"Bats",1.9
37,"Simpson diversity",-2,103.2,10,"Island",0,"Z",0,"Bats",4
37,"Shannon diversity",-2,103.2,10,"Island",0,"Z",0,"Bats",4
37,"Species richness",-2,103.2,10,"Island",0,"Z",0,"Bats",4
38,"Shannon diversity",-2,103.3,20,"Island",1,"D",100,"Bats",2
38,"Simpson diversity",-2,103.3,20,"Island",1,"D",100,"Bats",2
38,"Species richness",-2,103.3,20,"Island",1,"D",100,"Bats",2
39,"Shannon diversity",-2,103.3,5,"Island",2,"AC",6,"Bats",3
39,"Simpson diversity",-2,103.3,5,"Island",2,"AC",6,"Bats",3
39,"Species richness",-2,103.3,5,"Island",2,"AC",6,"Bats",3
