"","str1","str2","str3","str4"
"1",0.0329555172059533,-0.0983715832129675,0.0356581848614699,-0.109140714380758
"2",-0.0342739643631243,-0.0306003641464393,-0.206857609588568,-0.00441271940891581
"3",-0.132485418145985,-0.130333392015442,0.336272140665373,-0.103853725505805
"4",-0.141965965048859,0.0351101098554605,0.16135191639172,0.23949155246628
"5",0.0841625430606206,-0.0813241445843572,0.139972550441394,-0.0914778076096415
"6",0.139982117511819,0.273251834206155,0.123838274029981,-0.310074048579852
"7",0.0243246723546641,-0.194227240815418,-0.31758820660673,0.0362564299011309
"8",-0.0818745909471751,0.134171409769432,0.182460311433036,0.285211760215235
"9",0.0178536619077089,0.0332077469419701,0.0176026972737978,-0.190068135345207
"10",-0.318070642265322,-0.173209231165214,-0.176966721728277,-0.0619119534270631
"11",-0.0836942347114114,0.187735006144517,0.0317727363034334,-0.0176956373913853
"12",-0.121460600987625,-0.141993055948794,0.20855754355243,0.0147381756054576
"13",0.319335407419436,-0.297812610204913,0.210007989908465,0.126489167725763
"14",-0.157280833635109,0.0422200226123628,0.0489128890863013,-0.0112925467402966
"15",0.0624312447697584,-0.132454940089338,-0.132566353088399,0.00696282612555858
"16",0.0896736946641541,0.0607084990026694,-0.0907040631950377,0.126565001421383
"17",-0.190765433795288,-0.0671014738886339,-0.046945929847635,-0.156699598014498
"18",0.062623512394777,0.159706273961633,0.0736926101773438,0.212975080655947
"19",0.201006145608351,-0.285122476359721,0.1092009563343,0.0861965479190835
"20",0.0392597287229553,0.0265250080527932,0.0145497012865664,-0.0899870084447008
"21",-0.0418683048820393,0.0419849176532032,-0.0137901970550422,-0.0246240829196422
"22",0.0407752383490177,0.200741610649843,0.0107841466861916,0.0566870861679166
"23",0.22657123687144,-0.155263523696552,0.191967091194023,-0.0180869411941006
"24",0.0918472786886388,-0.155742500560275,0.0655330209600237,-0.000798140620528173
"25",0.0872393015856641,0.0594724287555871,-0.056486835737021,0.0106333602913154
"26",-0.109092078289301,0.0800270582754194,-0.0757584762712019,-0.0331097805311185
"27",0.243004438981989,-0.145816612684933,-0.215956755790623,-0.0294924268395096
"28",0.0473454832219584,0.326515241035378,0.0853176915961351,-0.376530063949886
"29",-0.0407918817213166,-0.0639594010195013,0.0609783672411771,0.067605996302771
"30",0.195848636671276,-0.0571929617048342,0.199628698294528,-0.0752222400909189
"31",0.0949400266076287,0.243951414457998,-0.090114763266251,0.125667665234561
"32",-0.0787788508513697,0.039308414440533,0.224019365251717,0.0268452249808605
"33",0.103230259203069,0.0342754433125119,-0.0740587936996015,-0.169234970546013
"34",-0.149332842589192,-0.139597501075163,-0.145938449307227,0.0346351438231605
"35",-0.122366176533569,-0.00827004402836048,0.106769674604908,0.03782290693787
"36",-0.147179555876048,-0.129759801874077,-0.0394106587890591,-0.120072758527911
"37",-0.0397897593826905,0.0933743227068838,0.0594083005850164,0.107917015195239
"38",-0.0893548410737752,-0.112089341294705,0.0351741152554448,-0.222938803470793
"39",0.0184371969227913,0.0728300052545588,-0.0236751593404739,0.251952050118812
"40",-0.00815006063031205,0.239956605528683,-0.165107139913197,0.173767663853996
"41",-0.215742586987421,-0.090328467130082,-0.100136768257454,0.0540312369454589
"42",-0.032989120464195,0.159550802297309,0.0977985551410383,0.09662257150051
"43",-0.30519734151478,-0.0214847657350719,0.0161194090110087,-0.158513805020481
"44",0.185538913993602,0.144630761016664,-0.176975511400572,0.0188568349653884
"45",0.19638494231566,-0.101907818550068,-0.152014835947508,-0.0452722559936884
"46",0.197393282510409,0.0141153950107996,-0.255081642295538,0.0707850918873404
"47",0.116131630982565,0.160901785300717,-0.0631696549292028,-0.186567185286161
"48",-0.0185946703245835,0.074127257402897,-0.0272213297419797,0.0950076064353192
"49",-0.0748050641850316,-0.0651827273097679,-0.0903380530981566,0.0569142630178193
"50",-0.0316386969688766,0.0248529784557844,0.116774997525301,0.275992858503363
"51",0.0210109898444957,-0.0325993722550159,-0.0452744043623105,-0.161227225512747
"52",-0.171763586196003,-0.051507000752118,-0.181985621835058,0.0716734571540816
