"PlotID","Hill","Lat","Long","Size","Treatment","DivLev","Composition","Nb_planted_trees","Taxa","Diversity"
25,"Simpson diversity",-1.949,103.256,5,"Island",1,"A",6,"Bats",0.667
26,"Simpson diversity",-1.948,103.257,40,"Island",2,"DF",400,"Bats",0.667
26,"Shannon diversity",-1.948,103.257,40,"Island",2,"DF",400,"Bats",0.707
26,"Species richness",-1.948,103.257,40,"Island",2,"DF",400,"Bats",0.75
27,"Shannon diversity",-1.95,103.246,10,"Island",2,"AE",24,"Bats",1
27,"Species richness",-1.95,103.246,10,"Island",2,"AE",24,"Bats",1
27,"Simpson diversity",-1.95,103.246,10,"Island",2,"AE",24,"Bats",1
28,"Species richness",-1.95,103.248,5,"Island",1,"B",6,"Bats",1
28,"Simpson diversity",-1.95,103.248,5,"Island",1,"B",6,"Bats",1
28,"Shannon diversity",-1.95,103.248,5,"Island",1,"B",6,"Bats",1
29,"Shannon diversity",-1.95,103.249,40,"Island",3,"BCD",399,"Bats",0.5
29,"Species richness",-1.95,103.249,40,"Island",3,"BCD",399,"Bats",0.5
29,"Simpson diversity",-1.95,103.249,40,"Island",3,"BCD",399,"Bats",0.5
30,"Species richness",-1.95,103.253,20,"Island",1,"E",100,"Bats",1
30,"Simpson diversity",-1.95,103.253,20,"Island",1,"E",100,"Bats",1
30,"Shannon diversity",-1.95,103.253,20,"Island",1,"E",100,"Bats",1
31,"Simpson diversity",-1.95,103.254,5,"Island",1,"C",6,"Bats",0.5
31,"Shannon diversity",-1.95,103.254,5,"Island",1,"C",6,"Bats",0.5
31,"Species richness",-1.95,103.254,5,"Island",1,"C",6,"Bats",0.5
32,"Species richness",-1.95,103.256,10,"Island",2,"CF",24,"Bats",0.5
32,"Simpson diversity",-1.95,103.256,10,"Island",2,"CF",24,"Bats",0.5
32,"Shannon diversity",-1.95,103.256,10,"Island",2,"CF",24,"Bats",0.5
33,"Simpson diversity",-1.95,103.257,20,"Island",3,"BDE",99,"Bats",0.5
33,"Shannon diversity",-1.95,103.257,20,"Island",3,"BDE",99,"Bats",0.5
33,"Species richness",-1.95,103.257,20,"Island",3,"BDE",99,"Bats",0.5
34,"Shannon diversity",-1.951,103.245,10,"Island",2,"BD",24,"Bats",0.718
34,"Species richness",-1.951,103.245,10,"Island",2,"BD",24,"Bats",0.75
34,"Simpson diversity",-1.951,103.245,10,"Island",2,"BD",24,"Bats",0.694
35,"Shannon diversity",-1.952,103.247,40,"Island",0,"Z",0,"Bats",0.5
35,"Species richness",-1.952,103.247,40,"Island",0,"Z",0,"Bats",0.5
35,"Simpson diversity",-1.952,103.247,40,"Island",0,"Z",0,"Bats",0.5
