"PlotID","plants_H0","plants_H1","plants_H2"
1,41,15.7099740652262,9.71045568684953
2,18,7.6565832273748,5.50166556563297
3,26,12.2315599288463,7.17802262545419
4,39,14.4744625687811,9.17567748421799
5,40,15.0723303777686,9.59241820997613
6,38,16.4165654442141,10.7473784832272
7,41,13.8637332871866,7.40320939536426
8,44,15.6021590308351,9.32506250614766
9,36,15.50854503729,8.96879226637131
10,32,14.8563520975169,8.94624856617095
11,42,17.1984901823253,10.8521794897298
12,37,18.4551410044934,11.3311835707192
13,40,17.0789721720641,11.2049657412443
14,31,13.2485969780651,7.77470095989878
15,22,10.347957129586,8.17903766800811
16,39,15.5864245808749,10.0338810563544
17,44,17.3452717305725,11.4780629762605
18,52,18.5363670709097,9.80743506616978
19,49,17.8130742786123,11.7507233528706
20,48,18.4996788352856,10.5642340306423
21,37,12.3777299679567,7.22708056139336
22,43,17.0456407021001,9.75511293092695
23,37,15.2550312908633,9.37110165015304
24,34,14.3695786685381,9.91943883118573
25,43,17.0076695911241,9.8677387143866
26,39,13.5643725630927,9.11009823161327
27,34,13.2444273203486,8.10817426134629
28,52,20.5995401994226,11.7037163321914
29,35,15.6483418375486,9.71954064860167
30,33,18.3053171916326,12.5042960561029
31,38,16.8120811519469,10.247890856802
32,49,20.4676096898137,11.716223692186
33,34,15.1545487824142,9.44177969303289
34,35,12.4306503801593,7.4394823922604
35,47,17.4762395628566,9.34551983800155
36,42,17.5714644552752,9.71676732431635
37,30,14.9232663539168,10.1987886520322
38,43,15.3167458191166,9.27585513727688
39,48,16.5880570680441,9.02696817888414
40,34,13.4884702851313,8.51010452927557
41,36,12.7470106204416,7.46878641785392
42,46,16.808514917819,10.4683265218884
43,27,11.9691687832585,8.03601355705217
44,44,18.9923293078143,11.3240188030713
45,48,19.4900577608498,11.4713814284993
46,41,16.6102660177153,10.4178247568979
47,42,18.7606647519895,11.57086939748
48,53,18.4760883387153,10.6832144801819
49,36,16.1200351793826,9.9895537588511
50,31,15.377386968786,9.42949387733224
51,30,14.7418404660738,10.1504543825942
52,26,12.7648410956446,8.39465749499127
53,32,16.2893949409905,10.6442870474259
54,42,15.8462892107641,9.14452232082377
55,44,17.132021305303,9.4965679432346
56,44,16.4109423124873,9.27426594322396
