"PlotID","Lat","Long","Size","Treatment","DivLev","Composition","Nb_planted_trees","Function","value"
1,-1.942,103.252,40,"Island",1,"A",400,"Evapotranspiration",197.187
2,-1.942,103.253,20,"Island",3,"ACF",99,"Evapotranspiration",165.367
3,-1.943,103.252,20,"Island",2,"CD",100,"Evapotranspiration",178.456
4,-1.943,103.253,10,"Island",1,"F",25,"Evapotranspiration",128.461
5,-1.945,103.252,40,"Island",1,"B",400,"Evapotranspiration",183.404
6,-1.945,103.253,5,"Island",1,"E",6,"Evapotranspiration",157.263
7,-1.945,103.255,40,"Island",3,"AEF",399,"Evapotranspiration",153.114
8,-1.946,103.249,5,"Island",1,"F",6,"Evapotranspiration",148.072
9,-1.946,103.251,10,"Island",3,"ABD",24,"Evapotranspiration",276.805
10,-1.946,103.252,20,"Island",0,"Z",0,"Evapotranspiration",298.864
11,-1.946,103.253,10,"Island",1,"D",25,"Evapotranspiration",202.507
12,-1.946,103.254,20,"Island",1,"C",100,"Evapotranspiration",364.323
13,-1.946,103.256,10,"Island",1,"E",25,"Evapotranspiration",234.442
14,-1.947,103.249,10,"Island",1,"C",25,"Evapotranspiration",167.247
15,-1.947,103.25,20,"Island",1,"B",100,"Evapotranspiration",36.231
16,-1.947,103.252,5,"Island",3,"ACD",6,"Evapotranspiration",31.051
17,-1.947,103.253,20,"Island",1,"F",100,"Evapotranspiration",358.878
18,-1.947,103.254,5,"Island",2,"DE",6,"Evapotranspiration",251.465
19,-1.947,103.256,20,"Island",6,"ABCDEF",96,"Evapotranspiration",251.831
20,-1.947,103.257,10,"Island",1,"B",25,"Evapotranspiration",230.236
21,-1.949,103.248,10,"Island",6,"ABCDEF",24,"Evapotranspiration",151.761
22,-1.949,103.249,5,"Island",2,"BF",6,"Evapotranspiration",239.435
23,-1.949,103.251,40,"Island",6,"ABCDEF",396,"Evapotranspiration",36.075
24,-1.948,103.254,40,"Island",2,"CE",400,"Evapotranspiration",214.817
25,-1.949,103.256,5,"Island",1,"A",6,"Evapotranspiration",288.173
26,-1.948,103.257,40,"Island",2,"DF",400,"Evapotranspiration",398.849
27,-1.95,103.246,10,"Island",2,"AE",24,"Evapotranspiration",110.924
28,-1.95,103.248,5,"Island",1,"B",6,"Evapotranspiration",220.213
29,-1.95,103.249,40,"Island",3,"BCD",399,"Evapotranspiration",286.542
30,-1.95,103.253,20,"Island",1,"E",100,"Evapotranspiration",18.38
31,-1.95,103.254,5,"Island",1,"C",6,"Evapotranspiration",254.427
32,-1.95,103.256,10,"Island",2,"CF",24,"Evapotranspiration",350.409
33,-1.95,103.257,20,"Island",3,"BDE",99,"Evapotranspiration",370.664
34,-1.951,103.245,10,"Island",2,"BD",24,"Evapotranspiration",181.549
35,-1.952,103.247,40,"Island",0,"Z",0,"Evapotranspiration",280.003
36,-1.951,103.248,20,"Island",2,"AF",100,"Evapotranspiration",293.607
37,-1.951,103.249,10,"Island",0,"Z",0,"Evapotranspiration",241.664
38,-1.952,103.25,20,"Island",1,"D",100,"Evapotranspiration",601.782
39,-1.951,103.252,5,"Island",2,"AC",6,"Evapotranspiration",562.869
40,-1.951,103.257,5,"Island",0,"Z",0,"Evapotranspiration",326.673
41,-1.953,103.244,10,"Island",1,"A",25,"Evapotranspiration",325.498
42,-1.953,103.245,5,"Island",1,"D",6,"Evapotranspiration",247.823
43,-1.95,103.259,40,"Island",1,"C",400,"Evapotranspiration",393.118
44,-1.953,103.248,5,"Island",3,"BEF",6,"Evapotranspiration",531.263
45,-1.953,103.249,40,"Island",1,"E",400,"Evapotranspiration",656.559
46,-1.954,103.242,40,"Island",2,"AB",400,"Evapotranspiration",260.663
47,-1.954,103.244,20,"Island",2,"BE",100,"Evapotranspiration",281.057
48,-1.954,103.245,10,"Island",3,"CEF",24,"Evapotranspiration",260.696
49,-1.954,103.247,40,"Island",1,"F",400,"Evapotranspiration",619.799
50,-1.954,103.248,5,"Island",6,"ABCDEF",6,"Evapotranspiration",484.839
51,-1.954,103.249,20,"Island",1,"A",100,"Evapotranspiration",465.132
52,-1.955,103.243,40,"Island",1,"D",400,"Evapotranspiration",318.807
53,-1.943,103.255,10,"Control",,,0,"Evapotranspiration",165.661
54,-1.951,103.256,10,"Control",,,0,"Evapotranspiration",258.488
55,-1.951,103.253,10,"Control",,,0,"Evapotranspiration",39.17
56,-1.955,103.246,10,"Control",,,0,"Evapotranspiration",242.931
1,-1.942,103.252,40,"Island",1,"A",400,"Litter input",10.243
2,-1.942,103.253,20,"Island",3,"ACF",99,"Litter input",19.717
3,-1.943,103.252,20,"Island",2,"CD",100,"Litter input",1.316
4,-1.943,103.253,10,"Island",1,"F",25,"Litter input",12.45
5,-1.945,103.252,40,"Island",1,"B",400,"Litter input",29.893
6,-1.945,103.253,5,"Island",1,"E",6,"Litter input",12.13
7,-1.945,103.255,40,"Island",3,"AEF",399,"Litter input",5.575
8,-1.946,103.249,5,"Island",1,"F",6,"Litter input",2.77
9,-1.946,103.251,10,"Island",3,"ABD",24,"Litter input",14.147
10,-1.946,103.252,20,"Island",0,"Z",0,"Litter input",15.849
11,-1.946,103.253,10,"Island",1,"D",25,"Litter input",8.157
12,-1.946,103.254,20,"Island",1,"C",100,"Litter input",8.397
13,-1.946,103.256,10,"Island",1,"E",25,"Litter input",28.334
14,-1.947,103.249,10,"Island",1,"C",25,"Litter input",4.455
15,-1.947,103.25,20,"Island",1,"B",100,"Litter input",24.289
16,-1.947,103.252,5,"Island",3,"ACD",6,"Litter input",3.49
17,-1.947,103.253,20,"Island",1,"F",100,"Litter input",15.791
18,-1.947,103.254,5,"Island",2,"DE",6,"Litter input",9.627
19,-1.947,103.256,20,"Island",6,"ABCDEF",96,"Litter input",31.811
20,-1.947,103.257,10,"Island",1,"B",25,"Litter input",22.753
21,-1.949,103.248,10,"Island",6,"ABCDEF",24,"Litter input",5.44
22,-1.949,103.249,5,"Island",2,"BF",6,"Litter input",2.75
23,-1.949,103.251,40,"Island",6,"ABCDEF",396,"Litter input",24.529
24,-1.948,103.254,40,"Island",2,"CE",400,"Litter input",12.542
25,-1.949,103.256,5,"Island",1,"A",6,"Litter input",15.046
26,-1.948,103.257,40,"Island",2,"DF",400,"Litter input",4.606
27,-1.95,103.246,10,"Island",2,"AE",24,"Litter input",15.506
28,-1.95,103.248,5,"Island",1,"B",6,"Litter input",3.375
29,-1.95,103.249,40,"Island",3,"BCD",399,"Litter input",6.503
30,-1.95,103.253,20,"Island",1,"E",100,"Litter input",19.523
31,-1.95,103.254,5,"Island",1,"C",6,"Litter input",6.196
32,-1.95,103.256,10,"Island",2,"CF",24,"Litter input",13.629
33,-1.95,103.257,20,"Island",3,"BDE",99,"Litter input",13.393
34,-1.951,103.245,10,"Island",2,"BD",24,"Litter input",16.716
35,-1.952,103.247,40,"Island",0,"Z",0,"Litter input",3.158
36,-1.951,103.248,20,"Island",2,"AF",100,"Litter input",15.014
37,-1.951,103.249,10,"Island",0,"Z",0,"Litter input",9.344
38,-1.952,103.25,20,"Island",1,"D",100,"Litter input",11.549
39,-1.951,103.252,5,"Island",2,"AC",6,"Litter input",14.539
40,-1.951,103.257,5,"Island",0,"Z",0,"Litter input",4.416
41,-1.953,103.244,10,"Island",1,"A",25,"Litter input",1.861
42,-1.953,103.245,5,"Island",1,"D",6,"Litter input",7.392
43,-1.95,103.259,40,"Island",1,"C",400,"Litter input",4.353
44,-1.953,103.248,5,"Island",3,"BEF",6,"Litter input",12.353
45,-1.953,103.249,40,"Island",1,"E",400,"Litter input",17.04
46,-1.954,103.242,40,"Island",2,"AB",400,"Litter input",5.814
47,-1.954,103.244,20,"Island",2,"BE",100,"Litter input",18.633
48,-1.954,103.245,10,"Island",3,"CEF",24,"Litter input",17.253
49,-1.954,103.247,40,"Island",1,"F",400,"Litter input",2.553
50,-1.954,103.248,5,"Island",6,"ABCDEF",6,"Litter input",9.541
51,-1.954,103.249,20,"Island",1,"A",100,"Litter input",9.445
52,-1.955,103.243,40,"Island",1,"D",400,"Litter input",5.536
53,-1.943,103.255,10,"Control",,,0,"Litter input",2.629
54,-1.951,103.256,10,"Control",,,0,"Litter input",6.27
55,-1.951,103.253,10,"Control",,,0,"Litter input",6.046
56,-1.955,103.246,10,"Control",,,0,"Litter input",1.395
1,-1.942,103.252,40,"Island",1,"A",400,"Litter decomposition",54.673
2,-1.942,103.253,20,"Island",3,"ACF",99,"Litter decomposition",82.324
3,-1.943,103.252,20,"Island",2,"CD",100,"Litter decomposition",84.743
4,-1.943,103.253,10,"Island",1,"F",25,"Litter decomposition",83.264
5,-1.945,103.252,40,"Island",1,"B",400,"Litter decomposition",46.927
6,-1.945,103.253,5,"Island",1,"E",6,"Litter decomposition",60.548
7,-1.945,103.255,40,"Island",3,"AEF",399,"Litter decomposition",18.552
8,-1.946,103.249,5,"Island",1,"F",6,"Litter decomposition",49.333
9,-1.946,103.251,10,"Island",3,"ABD",24,"Litter decomposition",53.731
10,-1.946,103.252,20,"Island",0,"Z",0,"Litter decomposition",57.072
11,-1.946,103.253,10,"Island",1,"D",25,"Litter decomposition",61.314
12,-1.946,103.254,20,"Island",1,"C",100,"Litter decomposition",61.475
13,-1.946,103.256,10,"Island",1,"E",25,"Litter decomposition",57.167
14,-1.947,103.249,10,"Island",1,"C",25,"Litter decomposition",70.92
15,-1.947,103.25,20,"Island",1,"B",100,"Litter decomposition",84.245
16,-1.947,103.252,5,"Island",3,"ACD",6,"Litter decomposition",70.53
17,-1.947,103.253,20,"Island",1,"F",100,"Litter decomposition",70.671
18,-1.947,103.254,5,"Island",2,"DE",6,"Litter decomposition",52.44
19,-1.947,103.256,20,"Island",6,"ABCDEF",96,"Litter decomposition",62.945
20,-1.947,103.257,10,"Island",1,"B",25,"Litter decomposition",70.466
21,-1.949,103.248,10,"Island",6,"ABCDEF",24,"Litter decomposition",53.184
22,-1.949,103.249,5,"Island",2,"BF",6,"Litter decomposition",42.254
23,-1.949,103.251,40,"Island",6,"ABCDEF",396,"Litter decomposition",73.78
24,-1.948,103.254,40,"Island",2,"CE",400,"Litter decomposition",88.714
25,-1.949,103.256,5,"Island",1,"A",6,"Litter decomposition",77.861
26,-1.948,103.257,40,"Island",2,"DF",400,"Litter decomposition",40.713
27,-1.95,103.246,10,"Island",2,"AE",24,"Litter decomposition",88.503
28,-1.95,103.248,5,"Island",1,"B",6,"Litter decomposition",61.628
29,-1.95,103.249,40,"Island",3,"BCD",399,"Litter decomposition",60.199
30,-1.95,103.253,20,"Island",1,"E",100,"Litter decomposition",80.348
31,-1.95,103.254,5,"Island",1,"C",6,"Litter decomposition",79.139
32,-1.95,103.256,10,"Island",2,"CF",24,"Litter decomposition",52.858
33,-1.95,103.257,20,"Island",3,"BDE",99,"Litter decomposition",89.055
34,-1.951,103.245,10,"Island",2,"BD",24,"Litter decomposition",72.659
35,-1.952,103.247,40,"Island",0,"Z",0,"Litter decomposition",70.174
36,-1.951,103.248,20,"Island",2,"AF",100,"Litter decomposition",76.261
37,-1.951,103.249,10,"Island",0,"Z",0,"Litter decomposition",19.138
38,-1.952,103.25,20,"Island",1,"D",100,"Litter decomposition",85.596
39,-1.951,103.252,5,"Island",2,"AC",6,"Litter decomposition",85.525
40,-1.951,103.257,5,"Island",0,"Z",0,"Litter decomposition",86.849
41,-1.953,103.244,10,"Island",1,"A",25,"Litter decomposition",76.06
42,-1.953,103.245,5,"Island",1,"D",6,"Litter decomposition",58.804
43,-1.95,103.259,40,"Island",1,"C",400,"Litter decomposition",82.641
44,-1.953,103.248,5,"Island",3,"BEF",6,"Litter decomposition",62.241
45,-1.953,103.249,40,"Island",1,"E",400,"Litter decomposition",42.075
46,-1.954,103.242,40,"Island",2,"AB",400,"Litter decomposition",77.99
47,-1.954,103.244,20,"Island",2,"BE",100,"Litter decomposition",74.627
48,-1.954,103.245,10,"Island",3,"CEF",24,"Litter decomposition",81.043
49,-1.954,103.247,40,"Island",1,"F",400,"Litter decomposition",81.442
50,-1.954,103.248,5,"Island",6,"ABCDEF",6,"Litter decomposition",29.568
51,-1.954,103.249,20,"Island",1,"A",100,"Litter decomposition",68.667
52,-1.955,103.243,40,"Island",1,"D",400,"Litter decomposition",80.897
53,-1.943,103.255,10,"Control",,,0,"Litter decomposition",55.004
54,-1.951,103.256,10,"Control",,,0,"Litter decomposition",80.017
55,-1.951,103.253,10,"Control",,,0,"Litter decomposition",85.429
56,-1.955,103.246,10,"Control",,,0,"Litter decomposition",
1,-1.942,103.252,40,"Island",1,"A",400,"Decomposers",16.756
2,-1.942,103.253,20,"Island",3,"ACF",99,"Decomposers",4.963
3,-1.943,103.252,20,"Island",2,"CD",100,"Decomposers",27.605
4,-1.943,103.253,10,"Island",1,"F",25,"Decomposers",15.231
5,-1.945,103.252,40,"Island",1,"B",400,"Decomposers",6.062
6,-1.945,103.253,5,"Island",1,"E",6,"Decomposers",22.699
7,-1.945,103.255,40,"Island",3,"AEF",399,"Decomposers",17.539
8,-1.946,103.249,5,"Island",1,"F",6,"Decomposers",1.523
9,-1.946,103.251,10,"Island",3,"ABD",24,"Decomposers",10.378
10,-1.946,103.252,20,"Island",0,"Z",0,"Decomposers",14.72
11,-1.946,103.253,10,"Island",1,"D",25,"Decomposers",10.598
12,-1.946,103.254,20,"Island",1,"C",100,"Decomposers",27.063
13,-1.946,103.256,10,"Island",1,"E",25,"Decomposers",6.097
14,-1.947,103.249,10,"Island",1,"C",25,"Decomposers",6.987
15,-1.947,103.25,20,"Island",1,"B",100,"Decomposers",11.516
16,-1.947,103.252,5,"Island",3,"ACD",6,"Decomposers",7.366
17,-1.947,103.253,20,"Island",1,"F",100,"Decomposers",18.311
18,-1.947,103.254,5,"Island",2,"DE",6,"Decomposers",9.406
19,-1.947,103.256,20,"Island",6,"ABCDEF",96,"Decomposers",14.651
20,-1.947,103.257,10,"Island",1,"B",25,"Decomposers",9.897
21,-1.949,103.248,10,"Island",6,"ABCDEF",24,"Decomposers",5.612
22,-1.949,103.249,5,"Island",2,"BF",6,"Decomposers",9.814
23,-1.949,103.251,40,"Island",6,"ABCDEF",396,"Decomposers",16.295
24,-1.948,103.254,40,"Island",2,"CE",400,"Decomposers",21.954
25,-1.949,103.256,5,"Island",1,"A",6,"Decomposers",4.236
26,-1.948,103.257,40,"Island",2,"DF",400,"Decomposers",31.234
27,-1.95,103.246,10,"Island",2,"AE",24,"Decomposers",14.276
28,-1.95,103.248,5,"Island",1,"B",6,"Decomposers",2.062
29,-1.95,103.249,40,"Island",3,"BCD",399,"Decomposers",10.269
30,-1.95,103.253,20,"Island",1,"E",100,"Decomposers",6.693
31,-1.95,103.254,5,"Island",1,"C",6,"Decomposers",14.075
32,-1.95,103.256,10,"Island",2,"CF",24,"Decomposers",15.047
33,-1.95,103.257,20,"Island",3,"BDE",99,"Decomposers",14.701
